idx,seed,n,file,status,obj_val,obj_bound,mip_gap,mip_gap_pct,runtime_s,node_count,sol_count,heur_cost,gurobi_cost,heur_gap_vs_gurobi_pct,optimal
1,1000,14,inst_001.json,9,113.54391323579353,112.51447208675164,0.009066458251302952,0.9066458251302952,1800.0671601295471,1494261,10,114.84105724069373,113.54391684233552,1.1424129397961396,0
2,1001,15,inst_002.json,9,105.708810473771,99.1535416426103,0.06201251155680363,6.201251155680363,1800.018019914627,1473501,10,107.54340753905542,105.70881206933255,1.7355180082050223,0
3,1002,14,inst_003.json,9,106.94387562086504,104.37461369840136,0.02402439510956354,2.402439510956354,1800.0558400154114,2567646,10,108.3145697014109,106.94387670304269,1.2816937637058887,0
4,1003,15,inst_004.json,9,102.58897588487673,98.04841600394624,0.044259725197235734,4.425972519723573,1800.0247538089752,1537301,10,103.11833988190902,102.58897623793541,0.5160044123511411,0
5,1004,15,inst_005.json,9,106.2893275741116,102.44151316443394,0.036201324229798285,3.6201324229798284,1800.0274729728699,1771319,10,107.53685157421471,106.28932757910424,1.1737057929753283,0
6,1005,15,inst_006.json,9,105.72253226012006,100.40924808624807,0.050256875807696035,5.0256875807696035,1800.0282039642334,948985,10,105.94374011304173,105.72253308488068,0.20923356800716045,0
7,1006,15,inst_007.json,9,108.23502380099218,105.79905823296824,0.022506259826790147,2.250625982679015,1800.0434629917145,1695941,10,110.13653061019563,108.23502472623531,1.7568304610914138,0
8,1007,12,inst_008.json,9,96.16879512264147,94.79001274018808,0.014337107797753632,1.4337107797753632,1800.05708193779,2724723,10,97.59876388826338,96.16879604239585,1.4869353727139563,0
9,1008,12,inst_009.json,9,101.73099340647104,100.54301616351735,0.011677633365940633,1.1677633365940634,1800.0556218624115,3147772,10,102.96267160350763,101.73099648289373,1.2107176408333018,0
10,1009,12,inst_010.json,9,85.89165904277192,82.76715758000012,0.03637723962481478,3.6377239624814783,1800.0899810791016,2479368,10,86.40914875184508,85.89166350707309,0.6024859964778486,0
11,1010,10,inst_011.json,9,93.55116881816399,93.41705691704787,0.0014335673494019964,0.14335673494019965,1800.0821118354797,5025580,8,94.83992830178859,93.55117566650894,1.3775910629640753,0
12,1011,10,inst_012.json,2,80.64466326767914,80.63731735986673,9.108981939728064e-05,0.009108981939728065,911.1317050457001,1901080,10,81.48014740682817,80.64466336251016,1.0360066115750013,1
13,1012,12,inst_013.json,9,75.89649625865074,74.10013595666523,0.0236685537612122,2.36685537612122,1800.0352711677551,3250609,10,76.76617612019393,75.89649803017942,1.145873805229721,0
14,1013,14,inst_014.json,9,96.86719144470138,93.87540924611737,0.030885402518270856,3.0885402518270855,1800.015515089035,1424400,10,98.29324212990181,96.86719221455583,1.4721701772746316,0
15,1014,14,inst_015.json,9,101.03452823802203,97.09932495254037,0.038949093484268275,3.8949093484268276,1800.0529420375824,1874564,10,102.08175533133303,101.03452905569199,1.036503347349487,0
16,1015,14,inst_016.json,9,95.36876685675568,91.71457369822613,0.038316455994635706,3.8316455994635708,1800.0854768753052,2260703,10,97.0178869026122,95.3687691365797,1.7292010591756364,0
17,1016,10,inst_017.json,9,63.98152403580109,63.83637951519397,0.0022685380317902766,0.22685380317902767,1800.0327031612396,4868931,10,64.41607684538077,63.98153029345479,0.6791749899274239,0
18,1017,14,inst_018.json,9,88.92436341880602,85.80089176351417,0.03512503812460567,3.512503812460567,1800.023796081543,1953829,10,89.49689570531189,88.9243637124682,0.643841540092351,0
19,1018,10,inst_019.json,9,60.23771362959315,58.31134164535514,0.031979500352278235,3.1979500352278234,1800.0913228988647,3329591,10,60.9150159154798,60.23771662089261,1.124377437560896,0
20,1019,12,inst_020.json,9,81.3467389213455,80.15488621640984,0.014651511796779917,1.4651511796779917,1800.1170151233673,3149716,10,81.96030708726104,81.3467429944688,0.7542577246564927,0
21,1020,14,inst_021.json,9,100.6897891369569,98.16370839912729,0.02508775477117819,2.508775477117819,1800.0393710136414,2378972,10,101.44383570844118,100.68979005158657,0.7488799574100743,0
22,1021,10,inst_022.json,9,73.85591985813406,73.18111890602208,0.009136721246017507,0.9136721246017507,1800.0473608970642,4042390,10,74.8978717973205,73.85592187893147,1.4107872353107391,0
23,1022,12,inst_023.json,9,102.30208901086081,101.20009946064418,0.010771916398497372,1.0771916398497372,1800.0334758758545,2755301,10,103.71485067207769,102.30208992918058,1.3809695812422802,0
24,1023,10,inst_024.json,2,63.362945194375015,63.3618542857036,1.7216823935006742e-05,0.001721682393500674,27.98386311531067,35070,10,66.61819891861686,63.36294532218448,5.137472034925519,1
25,1024,14,inst_025.json,9,96.23132383470984,92.83124291471538,0.03533237187752461,3.533237187752461,1800.0165119171143,1845812,10,97.85445906374105,96.23132383471028,1.6867015482595975,0
26,1025,14,inst_026.json,9,103.01073358145025,99.08138517844158,0.03814503854495659,3.8145038544956593,1800.0515141487122,2449775,10,104.06765937372597,103.01073462177676,1.0260336030316728,0
27,1026,15,inst_027.json,9,79.6782542735848,66.80579900960475,0.16155543794648075,16.155543794648075,1800.0343239307404,1103525,10,80.09141104719706,79.67825484144267,0.518530691437154,0
28,1027,15,inst_028.json,9,107.56036790094313,101.35459239578381,0.0576957445039095,5.76957445039095,1800.0269618034363,1408615,10,108.32866017249869,107.56037009394326,0.7142873140771077,0
29,1028,14,inst_029.json,9,87.85463543628963,83.15601568848419,0.05348175112755183,5.348175112755183,1800.0381970405579,2053315,10,90.01926390527599,87.85464396420574,2.463865133813733,0
